date,track,venue,state
2023-04-02,Hamilton,Hamilton,VIC
2023-04-02,Sale,Sale,VIC
2023-04-02,Sunshine Coast,Sunshine Coast,QLD
2023-04-03,Longreach,Longreach,QLD
2023-04-04,Dalby,Dalby,QLD
2023-04-04,Kyneton,Kyneton,VIC
2023-04-05,Ballarat,Ballarat,VIC
2023-04-05,Ipswich,Ipswich,QLD
2023-04-05,Port Lincoln,Port Lincoln,SA
2023-04-06,Benalla,Benalla,VIC
2023-04-06,Pakenham,Pakenham,VIC
2023-04-06,Toowoomba,Toowoomba,QLD
2023-04-06,Townsville,Townsville,QLD
2023-04-07,Geelong,Geelong,VIC
2023-04-08,Balnarring,Balnarring,VIC
2023-04-08,Barcaldine,Barcaldine,QLD
2023-04-08,Beaudesert,Beaudesert,QLD
2023-04-08,Clare,Clare,SA
2023-04-08,Doomben,Doomben,QLD
2023-04-08,Einasleigh,Einasleigh,QLD
2023-04-08,Emerald,Emerald,QLD
2023-04-08,Flinton,Flinton,QLD
2023-04-08,Gatton,Gatton,QLD
2023-04-08,Gladstone,Gladstone,QLD
2023-04-08,Kerang,Kerang,VIC
2023-04-08,Nanango,Nanango,QLD
2023-04-08,Oakbank,Oakbank,SA
2023-04-08,Roma,Roma,QLD
2023-04-08,Sandown-Lakeside,Sandown,VIC
2023-04-08,Warracknabeal,Warracknabeal,VIC
2023-04-09,Mornington,Mornington,VIC
2023-04-09,Penola,Penola,SA
2023-04-09,Stawell,Stawell,VIC
2023-04-09,Sunshine Coast,Sunshine Coast,QLD
2023-04-10,Augathella,Augathella,QLD
2023-04-10,Ipswich,Ipswich,QLD
2023-04-10,Oakbank,Oakbank,SA
2023-04-10,Sandown-Lakeside,Sandown,VIC
2023-04-11,Bendigo,Bendigo,VIC
2023-04-11,Mackay,Mackay,QLD
2023-04-12,Doomben,Doomben,QLD
2023-04-12,Strathalbyn,Strathalbyn,SA
2023-04-13,Kilmore,Kilmore,VIC
2023-04-13,Pakenham,Pakenham,VIC
2023-04-13,Rockhampton,Rockhampton,QLD
2023-04-14,Cranbourne,Cranbourne,VIC
2023-04-14,Seymour,Seymour,VIC
2023-04-14,Sunshine Coast,Sunshine Coast,QLD
2023-04-15,Blackall,Blackall,QLD
2023-04-15,Eagle Farm,Eagle Farm,QLD
2023-04-15,Gold Coast Poly,Gold Coast,QLD
2023-04-15,Gympie,Gympie,QLD
2023-04-15,Maxwelton,Maxwelton,QLD
2023-04-15,Morphettville,Morphettville,SA
2023-04-15,Sandown-Lakeside,Sandown,VIC
2023-04-15,Thangool,Thangool,QLD
2023-04-15,Toowoomba,Toowoomba,QLD
2023-04-15,Werribee,Werribee,VIC
2023-04-16,Pakenham,Pakenham,VIC
2023-04-16,Port Lincoln,Port Lincoln,SA
2023-04-16,Sunshine Coast,Sunshine Coast,QLD
2023-04-16,Terang,Terang,VIC
2023-04-17,Swan Hill,Swan Hill,VIC
2023-04-18,Geelong,Geelong,VIC
2023-04-18,Warwick,Warwick,QLD
2023-04-19,Balaklava,Balaklava,SA
2023-04-19,Ipswich,Ipswich,QLD
2023-04-19,Sandown-Hillside,Sandown,VIC
2023-04-20,Ararat,Ararat,VIC
2023-04-20,Pakenham,Pakenham,VIC
2023-04-20,Rockhampton,Rockhampton,QLD
2023-04-21,Cairns,Cairns,QLD
2023-04-21,Cranbourne,Cranbourne,VIC
2023-04-21,Wodonga,Wodonga,VIC
2023-04-22,Dalby,Dalby,QLD
2023-04-22,Doomben,Doomben,QLD
2023-04-22,Gold Coast Poly,Gold Coast,QLD
2023-04-22,Julia Creek,Julia Creek,QLD
2023-04-22,Kyneton,Kyneton,VIC
2023-04-22,Longreach,Longreach,QLD
2023-04-22,Mornington,Mornington,VIC
2023-04-22,Morphettville,Morphettville,SA
2023-04-22,Morphettville Parks,Morphettville,SA
2023-04-22,Yeppoon,Yeppoon,QLD
2023-04-23,Echuca,Echuca,VIC
2023-04-23,Port Augusta,Port Augusta,SA
2023-04-23,Sale,Sale,VIC
